2018-01-15 20:01:14,355 [Worker-44] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\73773\Desktop\zst\zstWebService\zst-webservice\src\test\resources
2018-01-15 20:03:37,790 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1250 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-15 20:03:37,829 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\73773\Desktop\zst\zstWebService\zst-webservice\src\main\resources
2018-01-15 20:03:37,858 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1250 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-15 20:03:37,894 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\73773\Desktop\zst\zstWebService\zst-webservice\src\test\resources
2018-01-15 20:21:47,880 [Worker-60] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1250 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-15 20:21:47,896 [Worker-60] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\73773\Desktop\zst\zstWebService\zst-webservice\src\main\resources
2018-01-15 20:21:47,896 [Worker-60] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1250 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-15 20:21:47,920 [Worker-60] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\73773\Desktop\zst\zstWebService\zst-webservice\src\test\resources
2018-01-15 20:24:09,329 [Worker-59] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1250 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-15 20:24:09,344 [Worker-59] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\73773\Desktop\zst\zstWebService\zst-webservice\src\main\resources
